"New Zealand Herald"	"30025"
"The Guardian"	"29683"
"Hindustan Times"	"2352"
"Wprost"	"0"
"South China Morning Post"	"3229"
"El periodico de Catalunya"	"992"
"El Universal"	"6997"
"Dernière Heure"	"715"
"Wirtualna Polska"	"8"
"Times of Malta"	"7976"
"Le soir"	"1206"
"TVN24"	"4"
"RMF24"	"5"
"The Times of India"	"3218"
"El Universal(MEX)"	"2841"
"The Star"	"1381"
"TVP"	"6"
"El mercurio"	"1720"
"Herald Sun"	"1756"
"China Daily"	"5706"
"The Australian"	"882"
"The News International"	"2418"
"Le Monde"	"1105"
"This Day"	"827"
"Le Parisien"	"1165"
"La patria"	"948"
"La tercera"	"1733"
"Fakt"	"12"
"Japan Times"	"5223"
"Newsweek"	"14"
"Chronicle"	"967"
"Gazeta wyborcza"	"2"
"The New York Times"	"10979"
"Washington Post"	"6263"
"Le Nacion"	"543"
"Le Journal de Montreal"	"435"
"Today"	"24547"
"Daily Telegraph"	"3577"
"La Jordana (Mex)"	"433"
"El Pais"	"1955"
"LExpression"	"382"
"Rzeczpospolita"	"8"
"El Watan"	"1386"
"Interia"	"9"
"Do rzeczy"	"46"
"La Razon"	"1152"
"The Star(malaise)"	"21058"
