"pl_POL_wp_int" "2017-07-31 13:45:00" "Krzysztof Szczerski: minister Ziobro postawił się w kontrze do prezesa Kaczyńskiego" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1629236288-170078026/zbigniew-ziobro.jpg"" width=""308"" /> - Byłoby dobrze, gdyby głos w sprawie działań prezydenta zabrała premier Beata Szydło w związku z rozdźwiękiem między dwiema partiami tworzącymi..."
"pl_POL_wp_int" "2017-07-31 13:37:00" "Noworodek znaleziony w toalecie. Matka trafiła do szpitala" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1416657327--119501564/policja.jpg"" width=""308"" /> Ciało noworodka znaleźli policjanci z Kłobucka (Śląskie) w przenośnej toalecie przy miejscowym zalewie. O sprawie powiadomił policję szpital, gdzie..."
"pl_POL_wp_int" "2017-07-31 13:32:00" "TVN ma nowego właściciela. Discovery Communications kupi Scripps Networks Interactive" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/652245152-1161118424/tvn.jpg"" width=""308"" /> Amerykański koncern oferuje 14,6 mld dol., czyli 90 dol. za akcję - donosi Reuters. Polska stacja TVN ma trafić w ręce Discovery do końca 2018 roku."
"pl_POL_wp_int" "2017-07-31 13:01:00" "Państwowa spółka wykorzystała powstańca w reklamie. Oburzenie w sieci" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1343807791-1731614924/powstanie-warszawskie.JPG"" width=""308"" /> Grafika z powstańcem oraz hasłem &" "34;poświęcenie to wielka energia&" "34; - w ten sposób reklamuje się spółka PGE, która jest mecenasem Muzeum Powstania..."
"pl_POL_wp_int" "2017-07-31 12:58:00" "Bloger zamówił Ubera i taksówkę na tej samej trasie. Różnica? Kolosalna" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/807758720-1860160331/uber-mytaxi.jpg"" width=""308"" /> Znany bloger i dziennikarz ekonomiczny Maciej Samcik postanowił porównać ceny Ubera i taksówki, testując obie usługi na tej samej trasie. Różnica w..."
"pl_POL_wp_int" "2017-07-31 12:47:00" """Sadystyczne, bestialskie pobicie"". Ziobro nie może zgodzić się z decyzją sądu " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1098082299-199874012/ziobro.jpg"" width=""308"" /> Dwaj mężczyźni pobili dla zabawy kilka osób i zabili 62-latka. Minister Zbigniew Ziobro zainterweniował ws. wyroku kieleckiego sądu, ponieważ..."
"pl_POL_wp_int" "2017-07-31 12:44:00" "Członkowie ""Zielonych"" znieważyli symbol Polski Walczącej? Będzie rozprawa i pikieta" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/190573333--1487921014/polska-niepodlegla-symbol.jpg"" width=""308"" /> Trójka działaczy partii &" "34;Zieloni&" "34; dostała wezwanie do sądu, bo podczas czerwcowego Marszu Godności użyli transparentu z użyciem PW. Rozprawa ma się..."
"pl_POL_wp_int" "2017-07-31 12:32:00" "Chiny chwalą się potęgą wojskową. Cały świat jasno zrozumiał komunikat prezydenta Xi" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1080833200-1360981057/chiny.jpg"" width=""308"" /> Tysiące żołnierzy z  najnowocześniejszym sprzętem defilowało po pokrytym kurzem pasie startowym na głębokiej, chińskiej prowincji. Nawet prezydent..."
"pl_POL_wp_int" "2017-07-31 12:30:00" "Minister Jan Szyszko potępi atak na operatora Polsatu?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/97495413--783210190/jan-szyszko.jpg"" width=""308"" /> Szefowa klubu Nowoczesnej Katarzyna Lubnauer zaapelowała do ministra środowiska Jana Szyszki, aby potępił atak na operatora Polsat News, który..."
"pl_POL_wp_int" "2017-07-31 12:29:00" "Śmierć 6-miesięcznego Maksymiliana. Zarzut zabójstwa usłyszał znajomy rodziny" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/679013303-234543414/lozeczko-dziecko.jpg"" width=""308"" /> 40-letni Grzegorz B. usłyszał zarzut zabójstwa 6-miesięcznego Maksymiliana. Mężczyzna będzie też odpowiadać za znęcanie się ze szczególnym..."
"pl_POL_wp_int" "2017-07-31 12:27:00" "Dyrektorzy z TVP z odznaczeniami. Andrzej Duda wyróżnił Dawida Wildsteina i Piotra Gursztyna" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1380019753--1663882112/andrzej-duda-powstanie.jpg"" width=""308"" /> W przededniu 73. rocznicy wybuchu Powstania Warszawskiego prezydent Andrzej Duda wręczył odznaczenia państwowe. Większość wyróżnionych to osoby..."
"pl_POL_wp_int" "2017-07-31 12:20:00" "Zarzuty dla dwóch mężczyzn za pobicie operatora Polsatu w Puszczy Białowieskiej" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1679422866--845551442/polsat.jpg"" width=""308"" /> Zarzut rozboju połączonego z uszkodzeniem ciała usłyszało dwóch mężczyzn, którzy mieli pobić operatora Polsatu robiącego materiał w Puszczy..."
"pl_POL_wp_int" "2017-07-31 12:07:00" "Bóg, Honor i Ojczyzna oraz dwa sorty. Prezydent Andrzej Duda ""odbiera lekcje od żołnierzy AK""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/817826177-720047606/duda.jpg"" width=""308"" /> &" "34;Miłościwie nam panujący panie prezydencie&" "34; - tak do prezydenta Andrzeja Dudy zwrócił się Prezes Zarządu Głównego Światowego Związku Żołnierzy AK..."
"pl_POL_wp_int" "2017-07-31 12:05:00" """Konwojent"" ze Swarzędza w rękach policji" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/490857540-149674893/policja-komenda-radiowoz.jpeg"" width=""308"" /> Jeden z głównych oskarżonych w głośnej sprawie kradzieży 8 milionów złotych w Swarzędzu, Dariusz D., po ogłoszeniu wyroku skazującego go na 7 lat..."
"pl_POL_wp_int" "2017-07-31 11:57:00" "Radosław Sikorski napisał o Powstaniu Warszawskim. Wywołał lawinę komentarzy" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1969633881-1943122746/radoslaw-sikorski.jpg"" width=""308"" /> 73 lata temu powstańcy zdobyli się na największy zryw militarny w okupowanej przez Niemców Europie. Tamte wydarzenia wciąż dzielą Polaków. Ostro o..."
"pl_POL_wp_int" "2017-07-31 11:25:00" "Gen. Ścibor-Rylski do młodych: szczęście, że nie wiecie, co to znaczy przelewać krew o wolność" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/942723780--301825961/powstanie.jpg"" width=""308"" /> Całe szczęście, że nie wiecie, co to przelewać krew o wolność - zwrócił się do młodzieży prezes Zarządu Głównego Związku Powstańców Warszawskich..."
"pl_POL_wp_int" "2017-07-31 11:06:00" "Gdynia: 28-latek śmiertelnie ugodzony nożem" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2085206872-1171935128/policja.jpg"" width=""308"" /> 28-letni mieszkaniec Gdyni zmarł po tym, jak został dwa razy ugodzony nożem. Do tragedii doszło w niedzielę wieczorem na Wzgórzu św. Maksymiliana...."
"pl_POL_wp_int" "2017-07-31 10:52:00" """W polityce warto mieć charakter"". Zbigniew Ziobro gorzko o wetach prezydenta Andrzeja Dudy" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/27130690--835385649/ziobro.jpg"" width=""308"" /> - Nie możemy zapomnieć o wszystkich poświęceniach naszych środowisk, o wielkiej cenie, włącznie ze sprawą Smoleńska. Czy to wszystko ma zostać..."
"pl_POL_wp_int" "2017-07-31 10:47:00" "PiS przegra? Rafał Ziemkiewicz ostro ocenia" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/54802493--1747611554/ziemkiewicz.jpg"" width=""308"" /> - Z przykrością muszę zakomunikować, że mamy wojnę. Wojnę na górze - powiedział publicysta Rafał Ziemkiewicz. Według niego przegrana PiS &" "34;nabiera..."
"pl_POL_wp_int" "2017-07-31 10:45:00" """Pierdy opowiadasz"" w ""Wiadomościach"". TVP nie potrafi wyjaśnić, jak do tego doszło. Kto jest winny?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1042091249-856769853/tvp.jpg"" width=""308"" /> Komentarz pojawił się podczas głównego wydania  &" "34;Wiadomości&" "34; TVP 1 w niedzielę 30 lipca. Był umieszczony tuż pod belką informacyjną i widzieli go..."
"pl_POL_wp_int" "2017-07-31 10:42:00" """There is a city..."" - Pamiętacie to?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/444079313-2083031353/historia-polski.jpg"" width=""308"" /> W lipcu 2012 roku w sieci pojawił się film prezentującym miasto, które co roku, 1 sierpnia zatrzymuje się na minutę, by oddać hołd poległym w jego..."
"pl_POL_wp_int" "2017-07-31 10:31:00" "Doradca prezydenta oskarża Fundację Otwarty Dialog i Google. Jest odpowiedź koncernu" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1683947346-1812655978/andrzej-zybertowicz.jpg"" width=""308"" /> Andrzej Zybertowicz, doradca prezydenta Andrzeja Dudy, powiedział, że Fundacja Otwarty Dialog otrzymała w ciągu dwóch lat usługi firmy Google,..."
