"pl_POL_rmf24_int" "2017-07-11 13:04:57" "ONZ: Potrzebny udział Kurdów przy opracowywaniu konstytucji Syrii" "<p><a href=""http://www.rmf24.pl/raporty/raport-konfliktwsyrii/fakty/news-onz-potrzebny-udzial-kurdow-przy-opracowywaniu-konstytucji-s,nId,2415663""><img src=""http://i.iplsc.com/onz-potrzebny-udzial-kurdow-przy-opracowywaniu-konstytucji-s/0006OXO3AHLK4SMS-C459.jpg"" alt=""ONZ: Potrzebny udział Kurdów przy opracowywaniu konstytucji Syrii"" align=""left"" /></a>Specjalny wysłannik ONZ ds. Syrii Staffan de Mistura powiedział w wywiadzie dla rosyjskiej agencji RIA Nowosti, że uważa za potrzebny udział syryjskich Kurdów w opracowywaniu nowej konstytucji Syrii czy w nowelizacji obecnej ustawy zasadniczej. </p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 12:06:13" "Tragedia chrześcijan z Mosulu. ""To bolesne, ale nie mamy tam przyszłości""" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-tragedia-chrzescijan-z-mosulu-to-bolesne-ale-nie-mamy-tam-pr,nId,2415620""><img src=""http://i.iplsc.com/tragedia-chrzescijan-z-mosulu-to-bolesne-ale-nie-mamy-tam-pr/0006OXGTQA8AR0QO-C459.jpg"" alt=""Tragedia chrześcijan z Mosulu. &" "34;To bolesne, ale nie mamy tam przyszłości&" "34;"" align=""left"" /></a>&" "34;Niemożliwy powrót chrześcijan do Mosulu&" "34; - pod takim tytułem francuski dziennik &" "34;Le Monde&" "34; publikuje we wtorek dramatyczne świadectwa chrześcijan w Iraku. Katolicka gazeta &" "34;La Croix&" "34; zaznacza, że &" "34;nikt nie wie, czy chrześcijanie wrócą do Mosulu&" "34;.</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 11:31:00" "Czterech Polaków zatrzymanych po zamieszkach w Hamburgu" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-czterech-polakow-zatrzymanych-po-zamieszkach-w-hamburgu,nId,2415593""><img src=""http://i.iplsc.com/czterech-polakow-zatrzymanych-po-zamieszkach-w-hamburgu/0006OXCSV2LXWQ1W-C459.jpg"" alt=""Czterech Polaków zatrzymanych po zamieszkach w Hamburgu"" align=""left"" /></a>Podczas zamieszek w Hamburgu w czasie szczytu G20 zatrzymanych zostało czterech Polaków - poinformował PAP rzecznik hamburskiej policji. Odmówił podania szczegółów dotyczących wieku, płci oraz miejsca zamieszkania zatrzymanych. </p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 11:00:56" "Wypadek polskiego autokaru w Serbii. Wśród poszkodowanych są dzieci" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-wypadek-polskiego-autokaru-w-serbii-wsrod-poszkodowanych-sa-,nId,2415575""><img src=""http://i.iplsc.com/wypadek-polskiego-autokaru-w-serbii-wsrod-poszkodowanych-sa/0006OXP8E5I69UJ7-C459.jpg"" alt=""Wypadek polskiego autokaru w Serbii. Wśród poszkodowanych są dzieci "" align=""left"" /></a>Jedna osoba zginęła w wypadku polskiego autokaru w Serbii. To 50-letni kierowca z Łodzi, który został przygnieciony przez przewrócony pojazd - twierdzą przedstawiciele biura podróży z Poznania, które organizowało wyjazd. W sumie na badania do szpitali trafiło ponad 20 z 50 pasażerów wracających z Grecji do Polski. Wśród nich uczestnicy obozu młodzieżowego. </p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 10:08:16" "​Niemcy proszą kraje UE o pomoc w ściganiu ekstremistów z Hamburga" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-niemcy-prosza-kraje-ue-o-pomoc-w-sciganiu-ekstremistow-z-ham,nId,2415543""><img src=""http://i.iplsc.com/niemcy-prosza-kraje-ue-o-pomoc-w-sciganiu-ekstremistow-z-ham/0006OX32IW1F1VD6-C459.jpg"" alt=""​Niemcy proszą kraje UE o pomoc w ściganiu ekstremistów z Hamburga"" align=""left"" /></a>Minister sprawiedliwości Niemiec Heiko Maas zwrócił się do krajów UE z prośbą o pomoc w identyfikacji i ściganiu osób podejrzanych o udział w zamieszkach podczas zakończonego w sobotę szczytu G20 w Hamburgu - poinformowała niemiecka prasa.</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 09:55:58" "Rosja może wydalić 30 amerykańskich dyplomatów" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-rosja-moze-wydalic-30-amerykanskich-dyplomatow,nId,2415537""><img src=""http://i.iplsc.com/rosja-moze-wydalic-30-amerykanskich-dyplomatow/0006OX1KGP5MPPH8-C459.jpg"" alt=""Rosja może wydalić 30 amerykańskich dyplomatów"" align=""left"" /></a>​W reakcji na zamknięcie stronie rosyjskiej dostępu do nieruchomości dyplomatycznych na terenie USA Moskwa może wydalić 30 dyplomatów amerykańskich i nałożyć areszt na amerykańskie nieruchomości w Rosji - poinformował dziennik &" "34;Izwiestija&" "34;.</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 09:27:31" "Sky News: Donald Trump z wizytą w Wielkiej Brytanii dopiero w 2018 roku" "<p><a href=""http://www.rmf24.pl/raporty/raport-wybory-w-wlk-brytanii/brexit/news-sky-news-donald-trump-z-wizyta-w-wielkiej-brytanii-dopiero-w,nId,2415527""><img src=""http://i.iplsc.com/sky-news-donald-trump-z-wizyta-w-wielkiej-brytanii-dopiero-w/0006OWZ3SLL669VM-C459.jpg"" alt=""Sky News: Donald Trump z wizytą w Wielkiej Brytanii dopiero w 2018 roku"" align=""left"" /></a>Wizyta państwowa prezydenta USA Donalda Trumpa w Wielkiej Brytanii odbędzie się w przyszłym roku - poinformowała telewizja Sky News, powołując się na wysokie rangą źródła w brytyjskim rządzie. Jak wynika z informacji telewizji, Trump może jednak wcześniej zdecydować się na złożenie nieoficjalnej wizyty, odwiedzając np. jedno ze swoich pól golfowych w Szkocji. Podczas ubiegłotygodniowego szczytu G20 w Hamburgu amerykański przywódca powiedział, że &" "34;będzie jechał do Londynu&" "34;, ale nie sprecyzował terminu swojej wizyty.</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 07:36:50" "Katastrofa samolotu wojskowego. Nie żyje 16 osób" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-katastrofa-samolotu-wojskowego-nie-zyje-16-osob,nId,2415479""><img src=""http://i.iplsc.com/katastrofa-samolotu-wojskowego-nie-zyje-16-osob/0006OWPCK9K630PN-C459.jpg"" alt=""Katastrofa samolotu wojskowego. Nie żyje 16 osób"" align=""left"" /></a>16 osób zginęło w katastrofie samolotu wojskowego, który rozbił się w amerykańskim stanie Missisipi - podała stacja CNN, powołując się na miejscowe służby ratownicze.</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 06:34:35" "FBI aresztowało żołnierza pod zarzutem wspierania Państwa Islamskiego" "<p><a href=""http://www.rmf24.pl/raporty/raport-swiat-kontra-panstwo-islamskie/najnowsze-fakty/news-fbi-aresztowalo-zolnierza-pod-zarzutem-wspierania-panstwa-is,nId,2415463""><img src=""http://i.iplsc.com/fbi-aresztowalo-zolnierza-pod-zarzutem-wspierania-panstwa-is/0006OWN2V51OEXK0-C459.jpg"" alt=""FBI aresztowało żołnierza pod zarzutem wspierania Państwa Islamskiego"" align=""left"" /></a>​Na Hawajach aresztowano żołnierza armii USA pod zarzutem wspierania Państwa Islamskiego - poinformowało w poniedziałek wieczorem czasu lokalnego Federalne Biuro Śledcze (FBI).</p><br clear=""all"" />"
"pl_POL_rmf24_int" "2017-07-11 06:17:19" "Syn Trumpa chce wyjaśnić sprawę swych rosyjskich kontaktów" "<p><a href=""http://www.rmf24.pl/fakty/swiat/news-syn-trumpa-chce-wyjasnic-sprawe-swych-rosyjskich-kontaktow,nId,2415459""><img src=""http://i.iplsc.com/syn-trumpa-chce-wyjasnic-sprawe-swych-rosyjskich-kontaktow/0006OWMUI1L05SKI-C459.jpg"" alt=""Syn Trumpa chce wyjaśnić sprawę swych rosyjskich kontaktów"" align=""left"" /></a>​Donald Trump Jr. oświadczył, że chce poinformować senacką komisję o swoich kontaktach z rosyjską prawniczką. &" "34;Jestem gotów powiedzieć wszystko, co wiem&" "34; - zapewnił na Twitterze najstarszy syn prezydenta USA.</p><br clear=""all"" />"
