"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
70854	"en_CAN_starca_int"	"2014-01-01 00:43:21"	"Western nations sending Alzheimer’s patients to Thailand for care"	"Countries in developing world offering cheaper, and to some minds better, care for those suffering from long-term memory loss."	"THA"	""
70882	"en_CAN_starca_int"	"2014-01-01 00:43:30"	"Jan. 1 is everyone’s birthday in Afghanistan"	"The first day of January has become a new kind of holiday in Afghanistan — a de facto birthday for thousands of Afghans who don’t know when they were born."	"AFG"	""
73934	"en_CAN_starca_int"	"2014-01-01 16:46:08"	"Jamel al-Jamal: Palestinian ambassador to Prague killed in bomb blast"	"Explosion in Czech Republic reportedly occurred when the ambassador was moving an old office safe box. He was at home with his family at the time"	"CZE"	""
73934	"en_CAN_starca_int"	"2014-01-01 16:46:08"	"Jamel al-Jamal: Palestinian ambassador to Prague killed in bomb blast"	"Explosion in Czech Republic reportedly occurred when the ambassador was moving an old office safe box. He was at home with his family at the time"	"PSE"	""
74069	"en_CAN_starca_int"	"2014-01-01 17:44:12"	"Pope’s new year wish: Accept differences and end arrogance"	"Pope Francis addresses crowd of tens of thousands of people gathered in St. Peter’s Square."	"VAT"	""
74342	"en_CAN_starca_int"	"2014-01-01 18:46:10"	"North Korea: Kim Jong Un praises uncle’s execution"	"North Korean leader Kim Jong Un said a purge of ""counterrevolutionary factionalists"" was the right thing to do."	"PRK"	""
74561	"en_CAN_starca_int"	"2014-01-01 19:46:10"	"Pakistan’s Musharraf fails to appear in court after bomb found near his home"	"This is the third time since the high treason proceedings began that explosives were found along former Pakistani president’s planned route to court."	"PAK"	""
74941	"en_CAN_starca_int"	"2014-01-01 21:44:11"	"Marijuana stores open for business in Colorado — and it’s legal"	"The first recreational marijuana industry in the U.S. opened Wednesday in Colorado."	""	""
75275	"en_CAN_starca_int"	"2014-01-01 22:46:13"	"Canadian cruise ship passenger missing near Cayman Islands"	"Police in the Cayman Islands suspect a 65-year-old Canadian man fell overboard northwest of Grand Cayman."	"CAN"	""
75276	"en_CAN_starca_int"	"2014-01-01 22:46:13"	"Jamal al-Jamal: Palestinian ambassador to Prague killed in bomb blast"	"Explosion in Czech Republic reportedly occurred when the ambassador was moving an old office safe box. He was at home with his family at the time"	"PSE"	""
75276	"en_CAN_starca_int"	"2014-01-01 22:46:13"	"Jamal al-Jamal: Palestinian ambassador to Prague killed in bomb blast"	"Explosion in Czech Republic reportedly occurred when the ambassador was moving an old office safe box. He was at home with his family at the time"	"CZE"	""
75514	"en_CAN_starca_int"	"2014-01-01 23:44:12"	"England’s Stonehenge gets a makeover"	"It’s about time the monument was renovated. Look forward to modern facilities among its ancient grandeur and $44 million price tag"	"GBR"	""
76082	"en_CAN_starca_int"	"2014-01-02 02:46:12"	"Dialing while driving is riskiest distraction, researchers say"	"Dialing while driving increases the risk of a crash more than any other distraction, says special report in New England Journal of Medicine."	""	""
79563	"en_CAN_starca_int"	"2014-01-02 15:44:09"	"Former Rwandan intelligence chief found strangled in South African hotel"	"Patrick Karegeya, a former colonel and longtime Kagame ally in war who turned against him in peace, was found strangled in a room at Johannesburg’s plush Michelangelo Towers hotel."	"RWA"	""
