"ID"	"feed"	"time"	"text1"	"text2"
70938	"en_NGA_thiday_int"	"2014-01-01 00:44:49"	"Chicken Republic Upgrades Outlets"	""
70937	"en_NGA_thiday_int"	"2014-01-01 00:44:49"	"Pension Transition Arrangement Keeps Hopes Alive for Defined Benefits Subscribers"	""
70936	"en_NGA_thiday_int"	"2014-01-01 00:44:49"	"Omatek Ventures Set for Improved Performance"	""
71195	"en_NGA_thiday_int"	"2014-01-01 01:44:48"	"JLT, Coordinator for NNPC Insurance, Fined N500m"	""
71197	"en_NGA_thiday_int"	"2014-01-01 01:44:48"	"Willsher: We Should Expect Further Growth in the Telecoms Sector"	""
71198	"en_NGA_thiday_int"	"2014-01-01 01:44:48"	"Nigeria, WTO and Evolving Trends in Global Trade"	""
71194	"en_NGA_thiday_int"	"2014-01-01 01:44:48"	"Osun State Ultimatum to Banks on Tax Remittances Expires"	""
71196	"en_NGA_thiday_int"	"2014-01-01 01:44:48"	"Conrad Clark Reaffirms Sovereign Trust Commitment to ERM"	""
71396	"en_NGA_thiday_int"	"2014-01-01 02:44:51"	"SEC Lists Benefits of New Capital Structure"	""
71395	"en_NGA_thiday_int"	"2014-01-01 02:44:51"	"As LG Gives Back to Host Communities"	""
71398	"en_NGA_thiday_int"	"2014-01-01 02:44:51"	"FirstBank, THISDAY, among Top Brands in Nigeria"	""
71394	"en_NGA_thiday_int"	"2014-01-01 02:44:51"	"Expectations as Nigeria’s Centenary Year Dawns"	""
71397	"en_NGA_thiday_int"	"2014-01-01 02:44:51"	"Fadama Fetches Cross River N48m Revenue"	""
71688	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"ACCESS TO CLEAN WATER"	""
71691	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Saraki Dares the Odds, Defects to APC"	""
71698	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"2015: APGA Seeks Improved Electoral Conduct"	""
71690	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"PDP NEC Decides Tukur’s Fate January 8"	""
71680	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"2014: Year of Prospect for Nigerian Sports"	""
71692	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Leaders Preach Peace, Unity and Hope at New Year"	""
71695	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Maku Scores Nigeria’s Economy Higher than USA, UK, Japan"	""
71682	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Keshi Picks Agbim, Egwuekwe, 21 Others for CHAN"	""
71689	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Jonathan to Tackle Corruption, Cost of Governance in 2014"	""
71696	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Ajimobi, Fayemi, Amaechi Condole with Soyinka over Daughter’s Death"	""
71697	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"APC Pledges to Build Post-oil Economy"	""
71683	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"More Glories for Country, Club on Emenike’s Mind"	""
71687	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Man United, Tottenham Eye Top Four"	""
71693	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Bola Tinubu: The Man Who (Re)Built Nigerian Opposition"	""
71681	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Elegbeleye Hails Jonathan for Lifting Sports in 2013"	""
71694	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"First Lady, Govs, Others Advocate Hope, Tolerance in 2014"	""
71686	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"NFF Appoints Wakanow as Tour Partner"	""
71685	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Coach Lauds Selection of Boxing for Glasgow 2014"	""
71684	"en_NGA_thiday_int"	"2014-01-01 04:49:42"	"Stakeholders Urge Continuity in Sports"	""
72201	"en_NGA_thiday_int"	"2014-01-01 06:49:47"	"Lagos Airport Cab Drivers Protest Directive to Relocate"	""
72202	"en_NGA_thiday_int"	"2014-01-01 06:49:47"	"Centenary: FG Designates 100 Heritage Sites National Monuments"	""
72200	"en_NGA_thiday_int"	"2014-01-01 06:49:47"	"FG to Save N127bn from Reduction in Wheat Importation"	""
72351	"en_NGA_thiday_int"	"2014-01-01 07:49:47"	"New Year Celebrations: IG Orders Tight Security at Worship Centres"	""
74481	"en_NGA_thiday_int"	"2014-01-01 19:05:23"	"Gunmen Kill Three Worshipers in Jos"	""
74686	"en_NGA_thiday_int"	"2014-01-01 20:05:25"	"Cholera kills 7 persons in Kano"	""
75152	"en_NGA_thiday_int"	"2014-01-01 22:05:23"	"Group Urges Legislators to Pass Tobacco Control Bill"	""
75846	"en_NGA_thiday_int"	"2014-01-02 01:05:28"	"Bridge Clinic Advocates Proper IVF Regulation"	""
75847	"en_NGA_thiday_int"	"2014-01-02 01:05:28"	"Society Advocates Policy Inclusion of Impaired Persons"	""
75843	"en_NGA_thiday_int"	"2014-01-02 01:05:28"	"Obanikoro: PDP Has a History of Fighting Corruption"	""
75844	"en_NGA_thiday_int"	"2014-01-02 01:05:28"	"Pfizer NEAR Joins Fight against Cervical and Breast Cancers"	""
75845	"en_NGA_thiday_int"	"2014-01-02 01:05:28"	"AGPMPN Calls for Regulation of Alternative Medicine"	""
76041	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"New Horizons Introduces First International Biometric Certification in W/Africa"	""
76043	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Is the Call for Presidential Impeachment Justified?"	""
76042	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Samsung, LG Team Up to Introduce 105-inch Curved Television"	""
76044	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"By Nigeria, Ethiopia to Clash again!"	""
76040	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"UpperLink Urges Nigerians to Register Businesses with .ng Domain Name"	""
76035	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"ZTE Restates Commitment to Boost Wireless, Broadband Systems"	""
76036	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Devt in 2013: Bits, Blips and Tips"	""
76039	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Venema: Proper Maintenance of IT Infrastructure Could Save Opex by 30%"	""
76046	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Ameobi Hopes for Career Turnaround"	""
76038	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Microsoft Corporation Unveils 4Afrika Advisory Council"	""
76037	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"MainOne: NCC’s Open Access Model is Key to National Broadband Rollout"	""
76045	"en_NGA_thiday_int"	"2014-01-02 02:05:30"	"Gambo, Adedeji Rue CHAN Miss"	""
76262	"en_NGA_thiday_int"	"2014-01-02 03:05:30"	"UPP Backs Abolition of State Electoral Agencies"	""
76676	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"The Nation Sales Official Killed in Auto Accident"	""
76674	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Cholera Kills Seven Persons in Kano"	""
76667	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Sterilisation Continues to Hit Banks’ Profits"	""
76677	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Uduaghan Wins Vanguard Man of the Year Award"	""
76679	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Lagos Blames N25.3bn LCC Buyout on Naira Depreciation"	""
76678	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"FRSC to Publish States’ Rating on Road Safety Mgt Soon"	""
76670	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Oshiomhole, Daniel, Authors Mourn Soyinka's Daughter"	""
76675	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Asari-Dokubo is Ignorant of How the House Works, Says Lawmaker"	""
76668	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Jonathan Restates Commitment to Economic Growth, Jobs Creation"	""
76666	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Pope Identifies Peaceful Co-existence as Solution to Nigeria’s Crisis"	""
76671	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Three Killed as Gunmen Attack Worshippers During New Year Service"	""
76665	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Tukur: My Removal is Not Part of PDP NEC Agenda"	""
76672	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Fashola's Wife Appeals to Doctors to Cancel Proposed Strike"	""
76669	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"New Year Messages: Atiku, Govs, Others Urge Unity, Peace in New Year"	""
76673	"en_NGA_thiday_int"	"2014-01-02 05:07:41"	"Group Moves to Stop Supply of Sub-standard HIV/AIDS Drugs"	""
79471	"en_NGA_thiday_int"	"2014-01-02 15:07:52"	"Fani Kayode: PDP on the Brink of Collapse"	""
79780	"en_NGA_thiday_int"	"2014-01-02 16:07:52"	"Fiat Shares Jump on Chrysler Merger Deal"	""
81050	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"PDP Stakeholders Warn Against Blackmailing Sambo, Yero"	""
81044	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"NUPENG Will Still Go on Strike, Says Official"	""
81046	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"Kalu Idika Kalu: National Confab Must Address Structural Imbalance"	""
81047	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"Dangote Sugar Factory Will Generate 15,000 Jobs in Jigawa"	""
81049	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"FG Allays Fears over Increase of Pump Price"	""
81048	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"Nigerian Editors Express Relief over Resolution of Stalemate Between FG and ASUU"	""
81043	"en_NGA_thiday_int"	"2014-01-02 20:08:02"	"Oil Theft Reduced to 40,000 Barrels Per Day, Says Uduaghan"	""
82508	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Bafana Top Stars Doubtful for Eagles"	""
82500	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"NCAA: Why We Invited Expatriates to Audit Dana"	""
82496	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Zenith Leads Banking Stocks with N860bn Capitalisation"	""
82510	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Ghanaian Boxer Prepares for Biggest Fight of His Career"	""
82502	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Revenue from Export of Perishable Cargo May Surpass Oil"	""
82509	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"World Peace Wrestling Returns in April"	""
82499	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"World Bank Recommends 25 Domestic Airlines for Nigeria"	""
82503	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"2014 Marks 100 Years of Commercial Aviation"	""
82507	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Enyeama is Europe’s Best Goalkeeper"	""
82495	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"OPEC December Output Drops to Two-year Low"	""
82498	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Smuggling: Nigeria Seeks Co-operation with Benin"	""
82512	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Ideye Set to Leave Dynamo Kyiv"	""
82511	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Sharapova Survives Scare in Brisbane"	""
82505	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"The Need for More Aviation Training Programmes in Nigeria"	""
82504	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Emirates to Land First A380 at Gatwick Airport, London"	""
82497	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Access Bank Divests from Cote d’Ivoire Subsidiary"	""
82506	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Odunayo: Population Makes Nigeria Market Attractive to Investors"	""
82501	"en_NGA_thiday_int"	"2014-01-03 01:08:06"	"Passengers to Enjoy lnternet Transactions at Treaven Travels"	""
82864	"en_NGA_thiday_int"	"2014-01-03 02:42:13"	"Peterside: Stepping Up the Ladder"	""
83196	"en_NGA_thiday_int"	"2014-01-03 03:42:17"	"With Charity for All"	""
83404	"en_NGA_thiday_int"	"2014-01-03 04:42:19"	"Nebo Assures Consumers of Steady Power Supply"	""
83674	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"NEMA Urges Drivers to be Safety Conscious"	""
83669	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Rivers Honours Lekwot, Saro Wiwa, Others"	""
83675	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"2014: SERAP Tasks Jonathan on Corruption"	""
83661	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Anambra Records Birth of 200 Babies on Jan 1"	""
83665	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Editors Commend Senate for Withdrawing Proposed Legislation on Online"	""
83660	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Nigerians, Other Africans Rescued by Italian Navy"	""
83670	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Cult War Claims Four Lives in Benin City"	""
83666	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"House Awaits Okonjo-Iweala's Presentation on Economy"	""
83671	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"2014: Ogun Public Servants Charged on Duties"	""
83673	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"ICPC Receives 872 Petitions, Recovers 469m"	""
83662	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Police Arrest Rivers Assembly Leader, Lloyd, for Murder"	""
83672	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Nigerian Legion Laments Deteriorating Pensioners’ Welfare"	""
83664	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"FG Crisis with Doctors Will be Resolved, Says Uduaghan"	""
83663	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"NLC Opposes Privatisation of Refineries"	""
83667	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"ASUU Commends FG on Payment of Salary Arrears"	""
83668	"en_NGA_thiday_int"	"2014-01-03 05:42:21"	"Finance Commissioner: States Can't Survive Without Funds from Federation Account"	""
83920	"en_NGA_thiday_int"	"2014-01-03 06:42:25"	"Senate to Investigate Obasanjo’s Letter to Jonathan"	""
83917	"en_NGA_thiday_int"	"2014-01-03 06:42:25"	"Gulak: Govs Seeking Tukur’s Removal Are Anti-Jonathan"	""
83918	"en_NGA_thiday_int"	"2014-01-03 06:42:25"	"FG to Appoint Surgeon-General of the Federation"	""
83919	"en_NGA_thiday_int"	"2014-01-03 06:42:25"	"Govt Backtracks, Shelves Plan to Sell Refineries"	""
