"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
766468	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"La UE compensará a los países más afectados si aprueba más sanciones"	"Los Veintiocho firman un acuerdo de asociación política con el Gobierno de Kiev. La represalia de la UE incluiría sanciones económicas, migratorias y comerciales"	""	""
766469	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Europa amplía su lista negra y prepara nuevas sanciones"	"Bruselas añade 12 personas más cercanas a Putin. La Unión se prepara una posible nueva fase de la escalada de tensión"	""	""
766470	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Moscú reclama a Kiev más de 11.000 millones de euros por la rebaja del gas"	"El Senado ruso ha aprobado las leyes necesarias para completar el proceso de incorporación de Crimea en la Federación"	"RUS"	""
766470	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Moscú reclama a Kiev más de 11.000 millones de euros por la rebaja del gas"	"El Senado ruso ha aprobado las leyes necesarias para completar el proceso de incorporación de Crimea en la Federación"	"UKR"	""
766471	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"“Es fácil quitarse los galones ahora”"	"Un portavoz de las Berkut, las tropas de intervención especial de Ucrania, relata su paso a las fuerzas rusas"	""	""
766472	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"¿Por qué el conflicto ucranio no va a causar otra crisis energética en la UE?"	"Ante lo impredecible de los acontecimientos en Crimea, Europa debe estar preparada para lo peor: un bloqueo a largo plazo a suministro de gas procedente de Rusia"	"UKR"	""
766473	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Obama anuncia sanciones contra sectores clave de la economía rusa"	"El presidente de EE UU dejará sin liquidez a un banco utilizado por colaboradores del Kremlin"	"RUS"	""
766473	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Obama anuncia sanciones contra sectores clave de la economía rusa"	"El presidente de EE UU dejará sin liquidez a un banco utilizado por colaboradores del Kremlin"	"USA"	""
766474	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"La Bolsa de Moscú se resiente de la imposición de sanciones a Rusia"	"S&P y Fitch amenazan con rebajar la nota de solvencia del país por el previsible aumento de las dificultades de financiación en la economía"	"RUS"	""
766475	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Abrazo ruso a los camaradas ucranios"	"Putin ordena dar todas las facilidades a los militares que decidan incorporarse a los cuerpos militares rusos"	"RUS"	""
766475	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Abrazo ruso a los camaradas ucranios"	"Putin ordena dar todas las facilidades a los militares que decidan incorporarse a los cuerpos militares rusos"	"UKR"	""
766476	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Moscú acelera el paso de la anexión"	"Rusia ha respondido a las sanciones de Estados Unidos y ha elaborado su propia lista negra de altos cargos"	"RUS"	""
766477	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"El nuevo desorden"	"En tan solo 20 días, la crisis de Crimea ha puesto patas arriba el orden europeo de 1975"	""	""
766478	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"China envía ocho barcos para colaborar en el rastreo del avión"	"Australia finaliza el cuarto día de búsqueda sin hallar restos del MH370 El rastreo de la zona se realiza a ojo desde el aire solo dos horas diarias"	"CHN"	""
766479	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Las ‘cajas negras’ solo transmiten 30 días tras el accidente"	"Pese a las lecciones del caso de Air France, las autoridades de aviación civil no mejoran los dispositivos"	""	""
766480	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Erdogan cumple su amenaza y bloquea Twitter"	"El primer ministro turco impide el acceso a la red social, clave en la revelación de las prácticas corruptas del Gobierno"	"TUR"	""
766481	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Críticas a Wilders por el discurso contra los “marroquíes” del país"	"Todo el arco político holandés pide hacerle el vacío por incitar al odio contra un grupo étnico. La Iglesia Protestante protestará el domingo en un servicio religioso abierto a otros credos"	""	""
766482	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Un atentado contra un hotel de lujo en Kabul causa nueve muertos"	"Entre las víctimas mortales figuran dos niños y cuatro extranjeros. Las autoridades responsabilizan del ataque a los talibanes"	"AFG"	""
766483	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Le Pen presenta el mayor número de candidaturas de su historia"	"El Frente Nacional participa en 597 listas electorales. Los analistas temen una abstención récord en las municipales"	""	""
766484	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Los votantes islámicos se alejan de Hollande en las municipales"	"Los conservadores de Unión por un Movimiento Popular (UMP) disputan a los socialistas el electorado musulmán"	"FRA"	""
766485	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Berlusconi ya no será Il Cavaliere"	"El político italiano pierde el título un día después de que el Supremo haya confirmado la pena de dos años de inhabilitación"	"ITA"	""
766486	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Duelo final de presiones por el Sáhara en Washington y la ONU"	"Rabat y el Polisario multiplican campañas y actos de propaganda ante la renovación del mandato de Minurso en la excolonia"	"USA"	""
766487	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Israel ataca cuatro bases militares sirias en los Altos del Golán"	"El ataque ha sido la respuesta a la explosión que el martes causó heridas a cuatro soldados israelíes en la frontera"	"SYR"	""
766487	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Israel ataca cuatro bases militares sirias en los Altos del Golán"	"El ataque ha sido la respuesta a la explosión que el martes causó heridas a cuatro soldados israelíes en la frontera"	"ISR"	""
766488	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Jerusalén aprueba 184 nuevas viviendas en suelo palestino"	"Un informe de la OLP señala que desde el inicio del diálogo de paz, Israel ha iniciado a construir 10.509 casas"	"ISR"	""
766488	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Jerusalén aprueba 184 nuevas viviendas en suelo palestino"	"Un informe de la OLP señala que desde el inicio del diálogo de paz, Israel ha iniciado a construir 10.509 casas"	"PSE"	""
766489	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Dos muertos por la explosión de un obús de la I Guerra Mundial"	"El accidente se produjo en Ypres (Bélgica) durante las obras de una zona industrial. Hay un herido en estado crítico"	""	""
766490	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"El Cervantes y la UNED invitan en Bruselas al dictador Teodoro Obiang"	"El presidente de Guinea Ecuatorial tiene programadas dos conferencias en la capital europea"	"BEL"	""
766491	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Un escándalo de desvío de fondos salpica al presidente de Sudáfrica"	"La Defensora del Pueblo sudafricana reclama a Jacob Zuma que devuelva dinero público que usó para ""protección"""	"ZAF"	""
766492	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Las cintas de Sarkozy confirman sus maniobras contra los jueces"	"Mediapart publica los fragmentos que prueban que un magistrado del Supremo amigo del expresidente presionó a tres colegas"	"FRA"	""
766493	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Detenido en el norte de Alemania un exenfermero de Auschwitz"	"El sospechoso, exmiembro de las SS, está acusado de haber participado en la exterminación de prisioneros en el campo"	"DEU"	""
766494	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"27 cartas privadas tienen en vilo al príncipe Carlos"	"La prensa está a un paso de obtener por vía judicial unas misivas que contienen fuertes opiniones del heredero"	""	""
766495	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Snowden: “Las revelaciones mayores están por llegar”"	"El exanalista de la NSA da una charla en Vancouver tras hacerlo en Austin"	""	""
766496	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Asesinado en Italia un niño en un ajuste de cuentas mafioso"	"Es el segundo menor víctima de la delincuencia organizada en pocos meses"	"ITA"	""
766497	"es_ESP_elpais_int"	"2014-03-21 16:19:08"	"Judíos y musulmanes critican la ley danesa sobre el sacrificio animal"	"Ambas comunidades se oponen a la norma que exige sedar a los animales antes de matarlos en rituales religiosos"	""	""
767113	"es_ESP_elpais_int"	"2014-03-21 17:19:08"	"Merkel: “El gas estadounidense podría ser una opción”"	"La canciller alemana no descarta recurrir a fuentes alternativas ante una eventual respuesta de Rusia"	"DEU"	""
767113	"es_ESP_elpais_int"	"2014-03-21 17:19:08"	"Merkel: “El gas estadounidense podría ser una opción”"	"La canciller alemana no descarta recurrir a fuentes alternativas ante una eventual respuesta de Rusia"	"USA"	""
