"ADP","Peseta Andorska"
"AED","Dirham Zjed. Zjednoczon Emir. emiratów Arabskich"
"AFA","Afgani"
"AMD","Dram"
"ANG","Gulden Antyl Holenderski"
"AON","Kwanz, Now"
"ARS","Peso Argentyńsk"
"ATS","Szyling Austriack"
"AUD","Dolar Australijsk"
"AWG","Gulden Arubijsk"
"AZM","Manat Azerbejdżańsk"
"BBD","Dolar Barbadosk"
"BEF","Frank Belgijsk"
"BHD","Dinar Bahrajsk"
"BIF","Frank Burundyjsk"
"BMD","Dolar Bermudzk"
"BND","Dolar Brunejsk"
"BOB","Boliwiano"
"BOV","Mvdol"
"BRL","Real Brazylijsk"
"BSD","Dolar Bahamsk"
"BTN","Ngultrum"
"BYB","Rubel Białorusk"
"BZD","Dolar Belizyjsk"
"CAD","Dolar Kanadyjsk"
"CHF","Frank Szwajcarsk"
"CLF","Chilijsk jednostk Inwestycyjn"
"CLP","Peso Chilijsk"
"CNY","Juan Ren-Min-Bi"
"COP","Peso Kolumbijski"
"CRC","Colon Kostaryki"
"CUP","Peso Kubański"
"CVE","Escudo Zielon Przyląd"
"CYP","Funt Cypryjsk"
"CZK","Koron Czesk"
"DEM","Mark Niemieck"
"DJF","Frank Dżibutańsk"
"DKK","Koron Duńsk"
"DOP","Peso Dominikańsk"
"DZD","Dinar Algiersk"
"ECS","Sucre"
"ECU","ECU"
"ECV","Ekwadorsk Jednostk Wartości Stałej"
"EEK","Koron Estońsk"
"EGP","Funt Egipski"
"ESP","Peset Hiszpańsk"
"ETB","Birr Etiopsk"
"EUR","Euro"
"FIM","Mark fińsk"
"FJD","Dolar Fidżi"
"FKP","Funt Falklandzk"
"FRF","Frank Francusk"
"GBP","Funt"
"GHC","Cedi"
"GIP","Funt Gibraltarsk"
"GMD","Dalasi"
"GNF","Frank Gwinejski"
"GRD","Drachm"
"GTQ","Quetzal"
"GWP","Peso Gwinei Bissau"
"GYD","Dolar Gujańsk"
"HKD","Dolar Hong Kongsk"
"HNL","Lempir"
"HRK","Kun Chorwack"
"HTG","Gourde"
"HUF","Forint"
"IDR","Rupi Indonezyjsk"
"IEP","Funt Irlandzki"
"ILS","Szekl"
"INR","Rupi Indyjsk"
"IQD","Dinar Irack"
"IRR","Rial Irańsk"
"ISK","Koron Islandzk"
"ITL","Lir Włoski"
"JMD","Dolar Jamajski"
"JOD","Dinar Jordański"
"JPY","Jen"
"KES","Szyling Kenijski"
"KGS","Som"
"KHR","Riel"
"KMF","Frank Komorski"
"KPW","Won Północno-Koreański"
"KRW","Won Południowo-Koreański"
"KWD","Dinar Kuwejcki"
"KYD","Dolar Kajmański"
"KZT","Tenge"
"LAK","Kip"
"LBP","Funt Libański"
"LKR","Rupia Sri Lanki"
"LRD","Dolar Liberyjski"
"LSL","Loti"
"LTL","Lit"
"LUF","Frank Luksemburski"
"LVL","Łat"
"LYD","Dinar Libijski"
"MAD","Dirham Marokański"
"MDL","Lej Mołdowy"
"MGF","Frank Madagaskarski"
"MKD","Dinar Macedoński"
"MMK","Kyat"
"MNT","Tugrik"
"MOP","Patac"
"MRO","Ouguiya"
"MTL","Lir Maltański"
"MUR","Rupi Mauritis"
"MVR","Rupi Malediwsk"
"MXN","Peso Meksykański, Now"
"MYR","Ringgit"
"MZM","Metical"
"NAD","Dolar Namibijski"
"NGN","Nair"
"NIO","Cordob, Złot"
"NLG","Gulden Holenderski"
"NOK","Koron Norwesk"
"NPR","Rupi Nepalsk"
"NZD","Dolar Nowo Zelandzki"
"OMR","Rial Omański"
"PAB","Balbo"
"PEN","Sol, Now"
"PHP","Peso Filipiński"
"PKR","Rupi Pakistańsk"
