AFGANISTÁN	Afghani	AFN	971
ALBANIA	Lek	ALL	008
ALEMANIA	Euro	EUR	978
ALGERIA	Dinar argelino	DZD	012
ANDORRA	Euro	EUR	978
ANGOLA	Kwanza	AOA	973
ANGUILA	Dólar del Caribe Oriental	XCD	951
ANTIGUA Y BARBUDA	Dólar del Caribe Oriental	XCD	951
ANTÁRTIDA	Sin moneda universal		
ARABIA SAUDITA	Riyal saudí	SAR	682
ARGENTINA	Peso Argentino	ARS	032
ARMENIA	Dram armenio	AMD	051
ARUBA	Florín arubeño	AWG	533
AUSTRALIA	Dólar australiano	AUD	036
AUSTRIA	Euro	EUR	978
AZERBAIYÁN	Manat azerbaiyano	AZN	944
BAHAMAS (LAS)	Dólar de las Bahamas	BSD	044
BAHRAIN	Dinar de Bahrein	BHD	048
BANGLADESH	Taka	BDT	050
BARBADOS	Dólar de Barbados	BBD	052
BELICE	Dólar de Belice	BZD	084
BENIN	Franco CFA BCEAO	XOF	952
BERMUDA	Dólar de Bermudas	BMD	060
BIELORRUSIA	Rublo bielorruso	BYR	974
BOLIVIA (ESTADO PLURINACIONAL DE)	Boliviano	BOB	068
BOLIVIA (ESTADO PLURINACIONAL DE)	Mvdol	BOV	984
BONAIRE SAN EUSTAQUIO Y SABA	Dólar Americano	USD	840
BOSNIA Y HERZEGOVINA	Marco bosnioherzegovino	BAM	977
BOTSWANA	Pula	BWP	072
BRASIL	Real Brasileño	BRL	986
BRUNEI DARUSSALAM	Dólar de Brunei	BND	096
BULGARIA	Lev búlgaro	BGN	975
BURKINA FASO	Franco CFA BCEAO	XOF	952
BURUNDI	Franco Burundi	BIF	108
BUTÁN	Ngultrum	BTN	064
BUTÁN	Rupia india	INR	356
BÉLGICA	Euro	EUR	978
CABO VERDE	Cabo Verde Escudo	CVE	132
CAMBOYA	Riel	KHR	116
CAMERÚN	Franco CFA BEAC	XAF	950
CANADÁ	Dólar canadiense	CAD	124
CHAD	Franco CFA BEAC	XAF	950
CHILE	Unidad de Fomento	CLF	990
CHILE	Peso chileno	CLP	152
CHINA	Yuan	CNY	156
CHIPRE	Euro	EUR	978
COLOMBIA	Peso ColombianO	COP	170
COLOMBIA	Unidad de Valor Real	COU	970
COMOROS	Franco Comoro	KMF	174
CONGO	Franco CFA BEAC	XAF	950
CONGO (LA REPÚBLICA DEMOCRÁTICA DEL)	Franco congoleño	CDF	976
COREA (LA REPÚBLICA DE)	Won	KRW	410
COREA (LA REPÚBLICA DEMOCRÁTICA POPULAR)	Won norcoreano	KPW	408
COSTA DE MARFIL	Franco CFA BCEAO	XOF	952
COSTA RICA	Colón costarricense	CRC	188
CROAcIA	Kuna	HRK	191
CUBA	Peso Convertible	CUC	931
CUBA	Peso Cubano	CUP	192
CURAZAO	Florín antillano neerlandés	ANG	532
DINAMARCA	Corona danesa	DKK	208
DJIBOUTI	Franco de Djibouti	DJF	262
DOMINICA	Dólar del Caribe Oriental	XCD	951
ECUADOR	DÓlar americano	USD	840
EGIPTO	Libra egipcia	EGP	818
EL SALVADOR	Colón	SVC	222
EL SALVADOR	Dólar americano	USD	840
EMIRATOS ÁRABES UNIDOS	Dírham de los Emiratos Árabes Unidos	AED	784
ERITREA	Nakfa	ERN	232
ESLOVAQUIA	Euro	EUR	978
ESLOVENIA	Euro	EUR	978
ESPAÑA	Euro	EUR	978
ESTADOS UNIDOS DE AMÉRICA	Dólar Americano	USD	840
ESTADOS UNIDOS DE AMÉRICA	Dólar Americano (Next day)	USN	997
ESTADOS UNIDOS E ISLAS MENORES	Dólar Americano	USD	840
ESTONIA	Euro	EUR	978
ETIOPÍA	Birr etíope	ETB	230
FIJI	Dólar de Fiji	FJD	242
FILIPINAS (LAS)	Peso filipino	PHP	608
FINLANDIA	Euro	EUR	978
FONDO MONETARIO INTERNACIONAL (IMF) 	SDR (Derechos Especiales de Giro)	XDR	960
FRANCIA	Euro	EUR	978
GABÓN	Franco CFA BEAC	XAF	950
GAMBIA	Dalasi	GMD	270
GEORGIA	Lari	GEL	981
GHANA	Cedi de Ghana	GHS	936
GIBRALTAR	Libra de Gibraltar	GIP	292
GRANADA	Dólar del Caribe Oriental	XCD	951
GRECIA	Euro	EUR	978
GROENLANDIA	Corona danesa	DKK	208
GUADALUPE	Euro	EUR	978
GUAM	Dólar americano	USD	840
GUATEMALA	Quetzal	GTQ	320
GUAYANA FRANCESA	Euro	EUR	978
GUERNESEY	Libra esterlina	GBP	826
GUINEA	Franco guineano	GNF	324
GUINEA ECUATORIAL	Franco CFA BEAC	XAF	950
GUINEA-BISSAU	Franco CFA BCEAO	XOF	952
GUYANA	Dólar guyanés	GYD	328
HAITÍ	Gourde	HTG	332
HAITÓ	Dólar americano	USD	840
HONDURAS	Lempira	HNL	340
HONG KONG	Dolar de Hong Kong	HKD	344
HUNGRÍA	Florín	HUF	348
INDIA	Rupia india	INR	356
INDONESIA	Rupia	IDR	360
IRAQ	Dinar iraquí	IQD	368
IRLANDA	Euro	EUR	978
IRÁN (REPÚBLICA ISLÁMICA DE)	Rial iraní	IRR	364
ISLA BOUVET	Corona noruega	NOK	578
ISLA DE MAN	Libra esterlina	GBP	826
ISLA DE NAVIDAD	Dólar australiano	AUD	036
ISLA HEARD E ISLAS McDONALD	Dólar australiano	AUD	036
ISLA NORFOLK	Dólar australiano	AUD	036
ISLANDIA	Corona islandesa	ISK	352
ISLAS ALAND	Euro	EUR	978
ISLAS CAIMÁN	Dólar de las Islas Caimán	KYD	136
ISLAS COCO	Dólar australiano	AUD	036
ISLAS COOK	Dólar neozelandés	NZD	554
ISLAS FEROE	Corona danesa	DKK	208
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR	Sin moneda universal		
ISLAS MALVINAS	Libra malvinense	FKP	238
ISLAS MARIANAS DEL NORTE	Dólar Americano	USD	840
ISLAS MARSHALL	Dólar americano	USD	840
ISLAS SALOMÓN	Dólar de las Islas Salomón	SBD	090
ISLAS VIRGENES (EE.UU.)	Dólar Americano	USD	840
ISLAS VÍRGENES (BRITÁNICA)	Dólar Americano	USD	840
ISRAEL	Nuevo Shekel Israelí	ILS	376
ITALIA	Euro	EUR	978
JAMAICA	Dólar jamaiquino	JMD	388
JAPÓN	Yen	JPY	392
JERSEY	Libra esterlina	GBP	826
JORDANIA	Dinar jordano	JOD	400
KAZAJSTÁN	Tenge	KZT	398
KENIA	Chelín keniano	KES	404
