0	Wprost
10	Interia
10	RMF24
15	Gazeta wyborcza
20	Fakt
20	Rzeczpospolita
35	TVN24
50	TVP
55	Newsweek
75	Wirtualna Polska
100	Do rzeczy
2316	El Watan
2691	Chronicle
3557	LExpression
3783	La Jordana (Mex)
4699	Dernière Heure
4920	La patria
5059	Le Journal de Montreal
6429	La Razon
7388	Le Parisien
7704	Le soir
8056	Le Nacion
8117	The News International
8306	El periodico de Catalunya
8732	Times of Malta
8828	Hindustan Times
9541	The Australian
10338	The Star
10687	La tercera
10743	Japan Times
10968	The Times of India
11241	Washington Post
11797	Le Monde
12307	El mercurio
12537	El Pais
18071	China Daily
19828	El Universal(MEX)
21341	South China Morning Post
24081	El Universal
24783	This Day
25222	The New York Times
25511	Herald Sun
28956	Daily Telegraph
38226	The Star(malaise)
40951	Today
58460	The Guardian
90883	New Zealand Herald
