"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
70827	"en_AUS_austra_int"	"2014-01-01 00:43:12"	"Rebel boss talks of peace but fights on"	"SOUTH Sudan rebel leader Riek Machar has rejected face-to-face talks with the country's president."	""	""
71021	"en_AUS_austra_int"	"2014-01-01 01:43:11"	"Glitch delivers Putin to Russia twice"	"RUSSIANS have heard two different versions of President Vladimir Putin's New Year's address."	"RUS"	""
71253	"en_AUS_austra_int"	"2014-01-01 02:43:10"	"Rocky Mountain high: pot comes to Denver"	"COLORADO is known as the ""High Country"" for its mountainous terrain, but it gets a new meaning as the state becomes the first to legalise pot."	""	""
71254	"en_AUS_austra_int"	"2014-01-01 02:43:10"	"TV crew tied to terrorists, Egypt says"	"EGYPT has accused a detained TV crew, including Australian Peter Greste, of having ties to the black-listed Muslim Brotherhood."	"EGY"	""
71559	"en_AUS_austra_int"	"2014-01-01 04:45:39"	"Kim's new year cheer has nuclear option"	"KIM Jong-un has said the Korean peninsula would be engulfed by ""massive nuclear disaster"" if war breaks out there again, warning the US it will not be safe."	""	""
71560	"en_AUS_austra_int"	"2014-01-01 04:45:39"	"Kim rides to the powder hounds"	"HIS people are hungry and his country under sanctions, but Kim Jong-un is celebrating North Korea's first ski resort."	""	""
71922	"en_AUS_austra_int"	"2014-01-01 05:45:39"	"Executing scum uncle unifying: Kim"	"KIM Jong-un has hailed the recent execution of his powerful uncle Jang Song-thaek, in his first public comments on the move."	""	""
71923	"en_AUS_austra_int"	"2014-01-01 05:45:39"	"Rocky Mountain high: pot comes to Denver"	"THE ""High Country"" takes on a new meaning as the Colorado becomes the first to legalise pot."	""	""
72124	"en_AUS_austra_int"	"2014-01-01 06:45:38"	"Jakarta terror squad kills 6 militants"	"INDONESIA'S anti-terror squad shot and killed six suspected militants and arrested another amid New Year's Eve celebrations."	"IDN"	""
72125	"en_AUS_austra_int"	"2014-01-01 06:45:38"	"Beyonce 'exploits' space disaster"	"FAMILIES of the astronauts killed in the Challenger space shuttle disaster are upset about a pop song by Beyonce."	""	""
72461	"en_AUS_austra_int"	"2014-01-01 08:45:37"	"Schumacher improving but still in danger"	"FORMULA One legend Michael Schumacher remained in an induced coma today after spending a third night in hospital."	""	""
73210	"en_AUS_austra_int"	"2014-01-01 12:45:34"	"Schumacher 'stable' after three days"	"FORMULA One legend Michael Schumacher remained in an induced coma today after spending a third night in hospital."	""	""
73740	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"No deal after Belfast peace talks"	"MARATHON talks aimed at setting a framework for lasting peace in Northern Ireland ended yesterday without a deal."	""	""
73741	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"Kim issues New Year disaster warning"	"ON New Year's Day, the world mostly appeared a place of would-be peace, love and harmony."	""	""
73742	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"Abbas warning on settlements"	"PALESTINIAN Authority President Mahmoud Abbas has warned of legal and diplomatic action to stop Israeli settlement expansion."	""	""
73743	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"India puts US diplomats on notice"	"US prosecutors are to press ahead with charging a senior Indian official."	"USA"	""
73743	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"India puts US diplomats on notice"	"US prosecutors are to press ahead with charging a senior Indian official."	"IND"	""
73746	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"Abe push for army to be external"	"CHANGES to Japan's constitution have been mooted."	"JPN"	""
75266	"en_AUS_austra_int"	"2014-01-01 22:45:27"	"De Blasio sworn in as mayor of New York"	"NEW York's new Democrat Mayor Bill de Blasio has been sworn in, promising to end growing economic inequality in America's biggest city."	"USA"	""
75267	"en_AUS_austra_int"	"2014-01-01 22:45:27"	"Exploding safe kills Palestinian envoy"	"THE Palestinian ambassador to the Czech Republic has died after a blast at his Prague residence that police said was an accident."	"PSE"	""
75733	"en_AUS_austra_int"	"2014-01-02 00:45:26"	"Legal pot lights up Colorado"	"A FESTIVE atmosphere greeted crowds in Colorado as they waited for America's first legal recreational pot shops to open."	""	""
75734	"en_AUS_austra_int"	"2014-01-02 00:45:26"	"Sharon worsens after 8 years in coma"	"THE health of former Israeli prime minister Ariel Sharon, who has been in a coma for nearly eight years, has worsened."	""	""
75890	"en_AUS_austra_int"	"2014-01-02 01:45:25"	"Schumacher exits critical period"	"MICHAEL Schumacher's chances of survival appeared to improve yesterday as he emerged from the initial, critical period of his hospitalisation."	""	""
76355	"en_AUS_austra_int"	"2014-01-02 04:45:59"	"How 'thick' Jamie found success"	"JAMIE Oliver fought everyone from dinner ladies to the British government to improve schools, but his hardest battle was his own education."	""	""
76804	"en_AUS_austra_int"	"2014-01-02 05:45:58"	"Somalia hotel bombing kills 10"	"AT least 10 people have died after two suicide car bombers attacked the popular Jazeera Palace hotel in Mogadishu, Somalia."	"SOM"	""
77009	"en_AUS_austra_int"	"2014-01-02 06:45:57"	"Murder probe into priest's death"	"A POPULAR priest has been found dead in the rectory of a California church, and detectives have launched a homicide investigation."	""	""
77244	"en_AUS_austra_int"	"2014-01-02 07:45:56"	"Can Obamacare cure Barack's woes?"	"PRESIDENT Barack Obama has faced the first big test of a critical year with the launch of his troubled healthcare revolution."	""	""
78075	"en_AUS_austra_int"	"2014-01-02 10:45:54"	"How 'thick' Jamie found success"	"JAMIE Oliver fought everyone from dinner ladies to school authorities, but his hardest battle was his own education."	""	""
79587	"en_AUS_austra_int"	"2014-01-02 15:45:52"	"S Sudan talks must achieve reconciliation"	"SOUTH Sudan's warring parties have arrived in Addis Ababa for talks aimed at ending nearly three weeks of conflict."	"SDN"	""
