"ID"	"feed"	"time"	"text1"	"text2"
208208	"en_ZWE_chroni_int"	"2014-01-21 11:33:11"	"No other candidate for presidency: ANC"	"CAPE TOWN – South Africa’s ruling African National Congress (ANC) would not field another candidate rather than President Jacob Zuma in the upcoming elections, the party’s deputy secretary general Jesse Duarte said on Saturday. Duart denied reports that the ANC did not want Zuma to lead the organisation. Zuma is the party’s only candidate for..."
208213	"en_ZWE_chroni_int"	"2014-01-21 11:33:11"	"Widespread flood afflicts Jakarta"	"JAKARTA – Widespread flooding afflicting Indonesian capital of Jakarta killed eight people and forced over 60,000 others to escape the waters as of yesterday, as heavy downpours keep deluging the city, official said. The heavy rain overnight pushed more residents to wade through flooded streets, clutching their belonging, others used rubber dinghies to make their..."
208212	"en_ZWE_chroni_int"	"2014-01-21 11:33:11"	"‘Obama embracing spying structure of Bush’"	"US President Barack Obama has “embraced” the fundamental surveillance structure used by his predecessor George W Bush, a top former official said. “The president has embraced it. He has got a political problem — and I don’t mean to trivialise it, because in a democracy, political problems are very serious. He needs consent of the..."
208222	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"Shock after boy, 3, killed in Italy mafia violence"	"Rome – A horrific triple murder in southern Italy in an apparent score-settling between rival mafia drug gangs has shocked the country, with a chorus of outrage over the youngest victim, a three-year-old boy. The boy, a man believed to be his grandfather and a woman believed to be his 52-year-old grandfather’s Moroccan girlfriend were..."
208221	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"Heavy clashes underway in Iraq’s Anbar"	"Fierce fighting is underway between Iraqi security forces and al-Qaeda-affiliated militants in the western province of Anbar, reports say. The clashes are reported to be mainly taking place in al-Kartan area, east of Ramadi, where one militant leader has also been killed. “The security forces have killed the leader of the Islamic State of Iraq..."
208223	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"ANC is our home: Cosatu"	"KwaZulu-Natal Cosatu secretary Zet Luzipo on Saturday called on the trade union federation’s affiliate members who were aggrieved over some of the ANC’s policies to engage with the party. “The ANC is our home, we cannot burn our own home as workers because without it, we have nowhere to go,” he told supporters at the..."
208219	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"Gunmen attack Muslims fleeing CAR, kill 22"	"Bangui – Attackers armed with machetes and clubs ambushed a convoy of Muslims fleeing sectarian violence in Central African Republic, killing 22 people, an aid group said on Sunday as the country in a state of bloody anarchy awaits a new interim president. More than 1,000 people have been killed since violence exploded a month..."
208220	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"15 dead, hundreds flee Nigeria homes after attacks"	"Maiduguri – Villagers and police say that more than 15 people have died in attacks by militants in northeast Nigerian villages and hundreds have fled their homes for safety. Borno state police spokesperson Gideon Jibrin said at least seven people were shot dead and three others drowned while fleeing on Thursday when gunmen believed to..."
208218	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"Syria talks in disarray over Iran invitation"	"Syrian President Bashar al-Assad has said he is likely to run in June’s presidential race, casting more doubt on the upcoming Geneva 2 talks, which his opponents threatened to boycott if an invitiation made to Iran is not retracted. The Syrian president said on Sunday there was a “significant chance” he would make a candidacy..."
208217	"en_ZWE_chroni_int"	"2014-01-21 11:33:59"	"South Sudan army retakes key town"	"New York – South Sudan government troops tried to force their way into a United Nations compound sheltering thousands of civilians after taking a key town from opposition rebels, a UN spokesperson said. Senior government figures and troops threatened UN staff when they tried to enter the compound at Bor, Martin Nesirky said in a..."
214746	"en_ZWE_chroni_int"	"2014-01-22 04:36:30"	"Nigerian Islamists kill 18"	"MAIDUGURI (Nigeria) — Islamist militants stormed a village in remote northeast Nigeria on Monday, torching houses and spraying them with bullets in an attack that killed 18 people, witnesses said.The latest Boko Haram assault, on Sunday night, came hours before Nigeria’s four top military chiefs handed over to fresh commanders in a ceremony on Monday...."
214767	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"UN under fire by Assad allies before Geneva 2"	"Iran and Russia, the key backers of the embattled Syrian regime, have condemned the United Nations retraction of an invitation made to Tehran to take part in the Geneva 2 peace talks, before the event inaugurates.UN Secretary-General Ban Ki-moon said on Sunday that the invitation was made after Iranian Foreign Minister Mohammad Javad Zarif said..."
214768	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"Palestinian president refuses extension of peace talks with Israel"	"RAMALLAH — Palestinian President Mahmoud Abbas hinted yesterday that he rejects any extension of the ongoing US-sponsored peace talks set to run nine months between the Palestinians and Israel.When the negotiations resumed in July after a three-year halt, “it was stipulated that they run for nine months and there were no talks about extending them,”..."
214773	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"Iran, world powers to push new round of nuclear talks"	"TEHRAN — Iran and the world powers are likely to meet next month to continue the talks on the remaining issues pertaining to Tehran’s nuclear programme, Iran’s nuclear negotiator Abbas Araqchi was quoted as saying by Press TV yesterday. It had been previously agreed that with the start of the implementation of the first step..."
214772	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"Iraq executes 26 prisoners over terror acts"	"BAGHDAD — The Iraqi Ministry of Justice  yesterday said it executed 26 convicted prisoners two days ago over terror charges, despite international calls on Baghdad to end the death penalty in the country. A statement issued by the ministry said that the executions were carried out on Sunday after the presidency approved their penalties according..."
214771	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"Delhi ministers protest against police"	"Delhi chief minister Arvind Kejriwal, who slept the night out on the streets while on an unprecedented 10-day protest against the state police, has appealed to the people to take “off from work and join him.”He said his “unconventional politics” would usher in a new era in Indian politics. Kejriwal together with his Aam Admi..."
214769	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"Barman tries to arrest ‘war criminal’ Tony Blair"	"What began as an ordinary Friday night for a barman at an upscale London steakhouse ended on a more dramatic note after former UK prime minister Tony Blair entered the establishment.Twiggy Garcia, a barman at London’s trendy Tramshed, apparently thinks about much more than just mixing cocktails. Ever since visiting a website devoted to arresting..."
214770	"en_ZWE_chroni_int"	"2014-01-22 04:38:44"	"China nabs 60,000 copyright pirates"	"BEIJING — As many as 59,222 people suspected of intellectual property rights (IPR) infringement were seized by Chinese police in 2013, the Ministry of Public Security revealed yesterday.  They were involved in 55,180 cases with an estimated value of 173 billion yuan (about US$28 billion), ministry official Gao Feng told a press conference. More than..."
229625	"en_ZWE_chroni_int"	"2014-01-23 20:37:52"	"Snowden denies being Russian spy"	"Washington — Edward Snowden has rejected suggestions he was a Russian spy, saying in remarks published on Tuesday that he acted alone in exposing US surveillance programmes.“This ‘Russian spy’ push is absurd”, the US fugitive told The New Yorker. In an interview the magazine said was carried out by “encrypted means” from Moscow, the 30-year-old..."
229623	"en_ZWE_chroni_int"	"2014-01-23 20:37:52"	"Syria rivals in blame game in Geneva talks"	"Syrian peace talks kicked off in Switzerland with little hope that it could override clashing stances between key players, the Syrian regime and the opposition, whose presence on the same table for the first time in almost three years resembles the highlight of the conference.Syrian Foreign Minister Walid Muallem, who heads President Bashar al-Assad’s delegation,..."
229628	"en_ZWE_chroni_int"	"2014-01-23 20:37:52"	"CAR leader pledges talks with armed groups"	"Central African Republic’s new interim president says she will hold talks with armed groups in an effort to restore order. Catherine Samba-Panza, who was appointed as interim president on Monday, replaced former Seleka leader Michel Djotodia, who stepped down under international pressure for failing to stop the country’s spiralling violence. Months of fighting pitting Seleka’s..."
229635	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Thai pro-protest leader shot"	"A leader of the pro-government “red-shirt” movement has been shot and wounded outside his home in north-east Thailand, hours after Prime Minister Yingluck Shinawatra enforced a state of emergency in Bangkok and its surrounding areas.Kwanchai Praipana, who leads thousands of pro-government supporters in Udon Thani, was shot and wounded by unidentified assailants in a drive-by..."
229637	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Steenkamps in ‘sensitive talks’ with Pistorius"	"Pretoria — Reeva Steenkamp’s parents are currently in “very sensitive negotiations” with Oscar Pistorius over compensation for the death of their daughter, their lawyer has confirmed.Beeld reported yesterday that the Advocate Dup de Bruyn is representing Barry and June Steenkamp. He also represented Fred van der Vyver in the Inge Lotz murder case. De Bruyn..."
229636	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Morsi backers call for 18 days of demos"	"Cairo — An Islamist alliance backing deposed president Mohammed Morsi called for 18 days of protests from tomorrow as Egypt on 25 January marks three years since the revolt that ousted his predecessor.The Anti-Coup Alliance said in a statement yesterday that protests will last until 11 February — the day when Morsi’s predecessor, long-time ruler..."
229639	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Bomb hits Pakistan police patrol"	"At least seven people, including one child, have been killed and 11 injured in a bomb attack near a police van in the country’s restive north-west province, officials have said.The van, which was in Khyber Pakhtunkhwa province’s Charsadda district, was being used to provide security for a polio vaccination  drive. Senior police official Saeed Wazir..."
229638	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Rabbit in Mandela statue to be removed"	"Pretoria -The tiny rabbit cast in the right ear of the statue of former president Nelson Mandela at the Union Buildings in Pretoria is to be removed.Beeld reported on Tuesday that the department of arts and culture had written to sculptors Ruhan Janse van Vuuren and André Prinsloo, asking them to remove the rabbit as..."
229640	"en_ZWE_chroni_int"	"2014-01-23 20:39:07"	"Uganda to deport Briton in gay sex case"	"Kampala — A retired British man at the centre of a gay sex case in Uganda was expected to be deported yesterday, a court ruled. “The court orders immediate deportation within 12 hours,” of Bernard Randall, judge Hellen Ajio said.An earlier charge of “trafficking obscene publications” against Randall was dropped. An official from the prosecutor’s..."
231265	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"Indian woman gang-raped as ‘punishment’"	"A 22-year-old woman is critical after being allegedly gang-raped by 13 men on the orders of village elders in India’s eastern state of West Bengal, reports say.The elders meted out the rape as punishment for the woman’s involvement with a man from another community. The 13 men involved in ordering the punishment and in the..."
231260	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"China urges Syrian rivals to start reconciliation"	"MONTREUX, Switzerland, — Chinese Foreign Minister Wang Yi met Wednesday with representatives of the Syrian government and opposition separately at the Geneva II conference, urging the two sides to seriously work for political reconciliation. After separate briefings by Syrian Deputy Prime Minister and Foreign Minister Walid Mualem as well as President of Syria’s main opposition..."
231259	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"New CAR leader calls for more foreign troops"	"Bangui — Central African Republic’s new interim president Catherine Samba-Panza warned there were not enough international troops to restore peace in her country, as she prepared to assume office yesterday.Her comments came the day after the UN officials urged African nations to reinforce the military mission or risk a descent into genocide. “The present number..."
231264	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"Father sues son for marrying outside caste"	"Patna — A father in eastern India is suing his only son for defamation after he married a woman from a lower caste, saying he has damaged his reputation and social standing.Sidhnath Sharma is seeking $162,000 in damages from his son Sushant Jasu and wants to prevent him from using the family surname, with a..."
231258	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"Mandela rabbit regrettable: Tambo"	"Johannesburg — The addition of a rabbit to the newly erected statue of former president Nelson Mandela at the Union Buildings by its sculptors is regrettable, the company contracted to create the figure said on Wednesday.“It is regrettable that the artists chose this way of expressing their opinion about not signing the sculpture, and that..."
231266	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"Iraq executes 11 prisoners for terror crimes"	"BAGHDAD — The Iraqi Ministry of Justice said it executed 11 convicts for terror crimes Thursday, two days after it announced the execution of 26 convicts, despite international calls for Baghdad to abolish the death penalty.In a statement, the ministry said: “The ministry of justice executed 11 people after they were found guilty of terrorism..."
231262	"en_ZWE_chroni_int"	"2014-01-24 00:37:56"	"SA refutes Human Rights Watch report"	"JOHANNESBURG — The South African government yesterday criticised the Human Rights Watch report on the country. “Our statistics on asylum seekers and registration of refugees indicates that South Africa is fully responsive to human rights obligations,” said Minister of Home Affairs Naledi Pandor.  “We are in the main a country that welcomes those who seek..."
240962	"en_ZWE_chroni_int"	"2014-01-25 06:38:28"	"Hollande to meet pope, hopes to woo Catholics"	"Vatican City — Abortion and euthanasia were among hot button issues on the table yesterday when Pope Francis met embattled French President Francois Hollande, under pressure after revelations of an affair but hoping to woo back Catholic voters.Francis has largely avoided public diatribes on Church doctrine but Vatican watchers say he is likely to press..."
240959	"en_ZWE_chroni_int"	"2014-01-25 06:38:28"	"Syrian peace talks on verge of collapse"	"Syrian peace talks are on the verge of collapse with the Syrian government threatening to leave Switzerland after the opposition refused to meet face-to-face until it agreed to the creation of a transitional government.The so-called Geneva II talks got under way on yesterday and were due to bring together representatives from President Bashar al-Assad’s regime..."
240960	"en_ZWE_chroni_int"	"2014-01-25 06:38:28"	"Madagascar leader Rajoelina steps down"	"Antananarivo — Madagascar leader Andry Rajoelina stood down yesterday, symbolically handing over power ahead of his elected successor’s inauguration, a move designed to steer the Indian Ocean Island out of crisis.“I wish you all success, I give you my blessing,” Rajoelina said, before handing a large golden key as a symbol of power to president-elect..."
