"ID_Flux"	"Langue_code"	"Pays_code"	"jrnl_code"	"Type_flux"	"Journal_Name"	"Type_periodique"	"ville_code"	"ville_Name"	"UTC.GMT"	"Olson_zone"	"URL"	"Name_Flux"	"X2014.01.01"	"X2015.06.30"	"NbItems_raw"	"MeanDay_Item_Raw"	"MedianDay_Item_raw"	"ModeDay_Item_raw"	"SDDay_Item_raw"	"min_date"	"max_date"	"NbItems_clean"	"Nb_Duplicate_T1andT2_0"	"NbItems_Unique_T1andT2_0"	"Word_Approx_found_PaysV4_T1"	"TAG_found_PaysV4_T1"	"Nb_item_tagguer_dico_PaysV4_Approx_T1"	"Word_Approx_found_Ebola_T1"	"TAG_found_Ebola_T1"	"Nb_item_tagguer_dico_Ebola_Approx_T1"
3463	"en"	"AUS"	"austra"	"int"	"the australian"	"quotidien"	"syd"	NA	NA	NA	"http://www.theaustralian.com.au"	"en_AUS_austra_int"	"Actif"	"Actif"	10236	19	"19"	40	7	"2014-01-01"	"2015-06-30"	10236	695	9541	5389	5293	4573	"162"	"162"	"162"
143	"en"	"AUS"	"hersun"	"int"	"Herald Sun"	"quotidien"	"mlb"	NA	NA	NA	"http://www.heraldsun.com.au/"	"en_AUS_hersun_int"	"Actif"	"Actif"	33356	63	"63"	136	30	"2014-01-01"	"2015-06-30"	33356	7842	25514	3992	3973	3689	"111"	"111"	"111"
1333	"en"	"CAN"	"starca"	"int"	"The Star"	"quotidien"	"tor"	NA	NA	NA	"http://www.thestar.com"	"en_CAN_starca_int"	"Actif"	"Actif"	11022	21	"20"	63	7	"2014-01-01"	"2015-06-30"	11022	703	10319	8858	8206	6799	"336"	"336"	"336"
9841	"en"	"CHN"	"chinad"	"int"	"China Daily"	"quotidien"	"pkn"	NA	NA	NA	"http://www.chinadaily.com.cn"	"en_CHN_chinad_int"	"Actif"	"Actif"	19303	39	"34"	280	32	"2014-01-01"	"2015-06-30"	19303	1133	18170	19057	18334	13393	"371"	"371"	"371"
9844	"en"	"CHN"	"mopost"	"int"	"South China Morning Post"	"quotidien"	"hkg"	NA	NA	NA	"http://www.scmp.com"	"en_CHN_mopost_int"	"Actif"	"Actif"	11829	23	"23"	58	9	"2014-01-01"	"2015-06-30"	11829	51	11778	12655	11364	8622	"252"	"252"	"252"
89	"en"	"GBR"	"dailyt"	"int"	"Daily telegraph"	"quotidien"	"ldn"	NA	NA	NA	"http://www.telegraph.co.uk/"	"en_GBR_dailyt_int"	"Actif"	"Actif"	32138	61	"63"	127	20	"2014-01-01"	"2015-06-30"	32138	3179	28959	27609	25267	20189	"513"	"513"	"513"
16073	"en"	"GBR"	"guardi"	"int"	"The Guardian"	"quotidien"	"ldn"	NA	NA	NA	"http://www.theguardian.com/"	"en_GBR_guardi_int"	"Actif"	"Actif"	64593	123	"111,5"	416	63	"2014-01-01"	"2015-06-30"	64593	6125	58468	50250	46303	37225	"876"	"876"	"876"
1105401	"en"	"IND"	"hindti"	"int"	"Hindustan Times"	"quotidien"	"del"	NA	NA	NA	"http://www.hindustantimes.com/"	"en_IND_hindti_int"	"Inactif"	"Actif"	9114	22	"21"	64	10	"2014-04-18"	"2015-06-30"	9114	301	8813	8876	8289	6669	"160"	"160"	"160"
23384	"en"	"IND"	"tindia"	"int"	"The times of India"	"quotidien"	"bom"	NA	NA	NA	"http://timesofindia.indiatimes.com"	"en_IND_tindia_int"	"Actif"	"Actif"	11161	21	"18"	56	9	"2014-01-01"	"2015-06-30"	11161	198	10963	12468	11648	9206	"208"	"208"	"208"
939315	"en"	"JPN"	"jatime"	"int"	"Japan Times"	"quotidien"	"tok"	NA	NA	NA	"http://www.japantimes.co.jp/"	"en_JPN_jatime_int"	"Inactif"	"Actif"	11432	26	"25"	67	10	"2014-04-08"	"2015-06-30"	11432	688	10744	8721	8232	6692	"479"	"479"	"479"
1361811	"en"	"MLT"	"tmalta"	"int"	"times of malta"	"quotidien"	"val"	NA	NA	NA	"http://www.timesofmalta.com"	"en_MLT_tmalta_int"	"Inactif"	"Actif"	8834	21	"21"	51	6	"2014-04-24"	"2015-06-30"	8834	102	8732	6632	6273	5217	"233"	"233"	"233"
1352543	"en"	"MYS"	"starmy"	"int"	"The Star (malaisie)"	"quotidien"	"pen"	NA	NA	NA	"http://www.thestar.com.my/"	"en_MYS_starmy_int"	"Inactif"	"Actif"	39249	92	"94,5"	170	27	"2014-04-23"	"2015-06-30"	39249	1013	38236	50158	45815	34645	"1149"	"1149"	"1149"
16465	"en"	"NGA"	"thiday"	"int"	"This Day"	"quotidien"	"lag"	NA	NA	NA	"http://www.thisdaylive.com"	"en_NGA_thiday_int"	"Actif"	"Actif"	26516	50	"50"	86	10	"2014-01-01"	"2015-06-30"	26516	1733	24783	5358	5285	4532	"531"	"531"	"531"
16473	"en"	"NZL"	"nzhera"	"int"	"New Zealand Herald"	"quotidien"	"akl"	NA	NA	NA	"http://www.nzherald.co.nz/"	"en_NZL_nzhera_int"	"Actif"	"Actif"	92534	174	"177"	289	58	"2014-01-01"	"2015-06-30"	92534	1408	91126	75874	72385	59405	"1456"	"1456"	"1456"
16462	"en"	"PAK"	"newint"	"int"	"The News International"	"quotidien"	"khi"	NA	NA	NA	"http://www.thenews.com.pk/"	"en_PAK_newint_int"	"Actif"	"Actif"	9152	17	"18"	41	5	"2014-01-01"	"2015-06-30"	9152	94	9058	8228	7921	6452	"85"	"85"	"85"
1361848	"en"	"SGP"	"twoday"	"int"	"Today"	"quotidien"	"sgp"	NA	NA	NA	"http://www.todayonline.com"	"en_SGP_twoday_int"	"Inactif"	"Actif"	41472	99	"103"	195	40	"2014-04-23"	"2015-06-30"	41472	511	40961	51961	47448	36152	"360"	"360"	"360"
1501	"en"	"USA"	"nytime"	"int"	"The New York Times"	"quotidien"	"nyk"	NA	NA	NA	"http://www.nytimes.com"	"en_USA_nytime_int"	"Actif"	"Actif"	31791	61	"64"	109	20	"2014-01-01"	"2015-06-30"	31791	6579	25212	26338	24767	20620	"513"	"513"	"513"
15986	"en"	"USA"	"wapost"	"int"	"Washington Post"	"quotidien"	"wsg"	NA	NA	NA	"http://www.washingtonpost.com/"	"en_USA_wapost_int"	"Actif"	"Actif"	14032	26	"26"	64	10	"2014-01-01"	"2015-06-30"	14032	2783	11249	13892	12573	9895	"125"	"125"	"125"
15973	"en"	"ZWE"	"chroni"	"int"	"Chronicle"	"quotidien"	"blw"	NA	NA	NA	"http://www.chronicle.co.zw"	"en_ZWE_chroni_int"	"Inactif"	"Actif"	2682	7	"7"	19	3	"2014-01-21"	"2015-06-30"	2682	1	2681	2121	2053	1731	"112"	"112"	"112"
764015	"es"	"ARG"	"nacion"	"int"	"La Nacion"	"quotidien"	"bna"	NA	NA	NA	"http://www.lanacion.com.ar/"	"es_ARG_nacion_int"	"Inactif"	"Actif"	8509	19	"18"	53	6	"2014-03-21"	"2015-06-30"	8509	453	8056	7300	6571	5312	"170"	"170"	"170"
1037	"es"	"BOL"	"larazo"	"int"	"La Razon"	"quotidien"	"paz"	NA	NA	NA	"http://www.la-razon.com/"	"es_BOL_larazo_int"	"Actif"	"Actif"	6454	13	"13"	41	6	"2014-01-01"	"2015-06-30"	6454	24	6430	6124	5684	4738	"132"	"132"	"132"
756856	"es"	"BOL"	"patria"	"int"	"La patria"	"quotidien"	"oru"	NA	NA	NA	"http://lapatriaenlinea.com"	"es_BOL_patria_int"	"Inactif"	"Actif"	4920	11	"10"	31	5	"2014-03-20"	"2015-06-30"	4920	6	4914	4414	4191	3497	"143"	"143"	"143"
875682	"es"	"CHL"	"mercur"	"int"	"El mercurio"	"quotidien"	"san"	NA	NA	NA	"http://www.emol.com/"	"es_CHL_mercur_int"	"Inactif"	"Inactif"	12338	31	"31"	55	7	"2014-04-02"	"2015-06-04"	12338	31	12307	15960	14391	10733	"545"	"545"	"545"
