id_src,id_tgt,nb_cocitations
6,5,16796.5
6,9,3113.45
0,9,1072.18
0,6,1574.34
5,9,1974.86
5,0,1567.0
10,9,242.312
10,6,162.951
10,0,201.229
10,5,220.773
12,11,64.3531
1,10,100.786
1,0,1106.25
16,0,979.357
16,1,528.564
1,20,505.468
21,1,102.614
26,25,0.333333
16,25,5.60158
16,26,17.8489
28,5,43.0368
20,5,46.4999
20,28,54.3755
9,23,356.57
30,1,294.482
32,4,78.3141
7,1,9.65833
7,0,0.43956
33,1,370.39
33,20,1.5702
34,30,1354.2
37,21,59.7129
38,1,18.6215
30,9,3424.48
34,9,1722.83
40,36,16.7351
41,9,1942.45
29,35,9.73173
1,9,988.239
44,1,9.34636
1,45,39.4611
42,1,11.1701
7,46,4.33333
47,39,11509.2
49,48,72.5542
28,1,77.3069
51,1,0.986465
51,28,6.6
53,52,1083.85
1,24,100.054
30,2,233.03
9,2,1352.81
54,1,8.64484
4,1,558.231
32,28,73.5062
13,28,607.929
13,32,26.2206
16,20,147.946
13,6,119.824
13,5,72.4327
9,16,1039.69
4,41,349.975
13,16,99.1259
1,13,160.248
9,13,298.335
24,16,23.4023
24,13,16.7376
24,9,598.603
4,16,306.921
4,13,175.375
4,9,2373.9
4,24,202.829
6,16,570.808
6,1,545.217
6,24,123.839
6,4,548.424
34,16,83.586
34,13,50.6083
34,1,138.288
34,24,77.8301
34,4,252.494
34,6,268.243
56,55,248.665
57,55,21.7968
57,56,16.788
59,0,32.7956
24,0,40.74
60,43,431.644
15,61,0.169744
1,61,2.99659
1,15,41.8973
9,61,8.34453
9,15,1363.1
63,4,30.3318
0,34,137.703
0,4,1341.89
64,1,48.028
46,1,327.15
46,0,847.023
27,9,4116.8
30,31,160.609
47,1,140.333
3,20,16.3342
3,1,425.828
0,62,54.594
9,53,148.365
9,52,55.0474
0,67,99.7177
11,1,207.679
73,30,1752.48
1,48,14.6118
74,9,197.472
1,23,44.3095
1,75,1.62774
1,62,301.702
1,29,26.3538
10,25,3.83338
25,76,0.233333
10,76,2.37652
67,76,3.94953
67,25,0.628142
67,10,6.51434
8,1,142.406
78,8,231.26
80,53,5.91879
52,80,3.12561
8,9,449.082
5,1,275.817
1,81,21.2775
33,81,21.8868
82,81,4.375
82,1,28.6026
82,33,29.005
35,1,27.7579
23,35,22.4507
8,4,124.693
30,43,562.663
84,83,116.109
44,5,35.3658
37,5,2.26655
37,1,6.88399
37,44,1.25729
6,44,102.061
6,37,10.2133
86,5,3.85811
86,1,7.74069
86,44,1.60324
86,37,44.7764
86,6,8.44073
5,16,605.439
67,1,21.0478
63,1,14.4602
63,67,6.56467
1,87,10.1942
21,20,1495.18
11,0,449.746
29,4,174.635
30,4,450.484
47,4,125.824
47,30,30.0071
9,47,1204.33
90,0,22.6178
9,90,7.02651
91,0,230.658
0,89,76.5887
13,89,110.136
13,0,541.862
36,9,379.269
36,1,58.1615
14,2,1569.49
4,20,636.425
9,20,2773.04
36,10,13.8452
4,45,3.16667
71,4,87.4492
0,8,16.1889
1,91,32.8203
30,78,42.0553
30,8,41.7412
95,94,233.434
9,7,3.74652
92,10,5.84777
17,1,26.9763
0,17,59.3325
45,6,7.26667
45,10,1.43333
63,0,58.2528
0,32,185.495
5,4,260.153
24,5,84.1434
9,46,158.0
0,64,171.899
96,20,21.2803
96,1,32.4554
0,20,160.358
28,98,46.6785
47,98,126.92
47,28,222.257
21,4,63.7291
21,6,78.9232
24,21,15.9458
46,4,156.931
46,6,303.134
46,21,22.3232
46,24,14.6899
9,21,464.164
28,39,123.89
98,39,74.1208
20,39,70.2657
20,98,289.987
46,47,49.7668
16,76,18.6064
13,76,2.92292
47,0,101.007
13,46,52.0509
70,99,10.5977
100,0,68.762
4,60,1163.39
0,76,171.325
1,77,2.34413
76,4,23.5473
4,67,30.8285
24,78,9.67271
13,78,11.946
0,21,140.03
20,46,81.1194
106,9,19.2129
9,32,226.987
10,89,29.7001
5,46,296.644
23,70,6.20916
107,70,14.6769
107,23,24.0348
9,11,247.009
16,33,5.63809
62,33,7.02247
8,33,2.04332
8,62,4.44918
61,13,4.71947
108,9,7.69086
108,13,19.7862
1,60,192.151
1,109,95.9582
9,31,264.232
41,29,559.323
102,43,27.5883
21,27,423.151
45,0,2.92778
105,9,1300.49
105,27,475.658
64,11,21.8417
9,39,766.961
43,1,110.798
74,85,73.1677
70,71,429.17
27,20,2016.34
73,1,12.8713
46,67,10.6179
4,90,2.48201
113,112,280.142
114,112,193.365
114,113,222.507
11,43,7.81107
0,115,7.47403
76,46,19.9335
46,3,9.97145
4,33,4.16494
45,32,7.66667
6,59,75.152
5,59,28.8465
44,59,6.37857
44,0,23.8686
32,54,9.36667
28,54,57.4961
117,9,13.2623
0,94,55.3105
0,95,51.3809
95,67,6.91752
94,67,13.359
4,28,66.3954
15,64,10.9887
6,3,6.28971
16,3,7.05566
53,105,8.73693
83,9,1333.45
83,105,9.52258
83,53,1.69667
9,118,105.765
47,22,632.533
39,22,837.447
69,36,28.0887
11,120,4.52388
6,120,1.90769
6,11,21.1444
121,71,10.1343
1,19,84.903
122,1,27.7654
101,1,61.8359
101,122,2.05112
6,60,359.897
16,67,53.4597
9,67,91.772
1,39,246.413
105,67,623.032
16,36,133.154
1,95,6.42524
90,95,53.9113
90,1,2.39933
16,95,6.54082
16,90,2.03737
101,90,1.04762
0,92,75.7379
88,0,24.4949
123,1,2.75122
123,3,2.26817
64,5,435.581
19,5,1190.02
19,64,301.695
19,9,470.302
81,124,0.5
82,124,0.557946
1,124,16.5838
43,125,13.3628
1,125,6.02469
19,0,45.6902
19,67,4.89048
6,19,348.157
30,13,60.8945
6,64,133.038
126,20,1807.26
127,1,22.5275
74,39,3.46111
47,74,5.10362
55,62,34.5141
